Facility Name,City,County,State,ZIP,Latitude,Longitude,Industry Sector,Carcinogen,Stack Air,Water,Underground,On-Site Release Total
CLIMAX MOLYBDENUM CO-HENDERSON MINE,EMPIRE,CLEAR CREEK,CO,80438,39.7591,-105.8404,Metal Mining,NO,0.0,750.0,0.0,1401000.0
ASCEND PERFORMANCE MATERIALS OPERATIONS LLC,GREENWOOD,GREENWOOD,SC,29646,34.2306,-82.05776,Chemicals,NO,0.0,0.0,0.0,9818.0
GRANITE FALLS ENERGY LLC,GRANITE FALLS,CHIPPEWA,MN,56241,44.7999,-95.4869,Chemicals,NO,5152.077,0.0,0.0,6072.347
ALBEMARLE CORP SOUTH PLANT,MAGNOLIA,COLUMBIA,AR,71753,33.1756,-93.2169,Chemicals,YES,4158.0,0.0,0.0,10896.0
DEER PARK REFINING LP,DEER PARK,HARRIS,TX,77536,29.722222,-95.126944,Petroleum,NO,0.0,180000.0,0.0,180000.0
BASF CORP,GEISMAR,ASCENSION PARISH,LA,70734,30.1979,-91.0035,Chemicals,YES,5390.0,0.0,0.0,5865.0
CLIMAX MOLYBDENUM CO-CLIMAX MINE,CLIMAX,LAKE,CO,80429,39.368668,-106.182976,Metal Mining,NO,0.0,2300.0,0.0,372550.0
HEXION INC,GEISMAR,ASCENSION PARISH,LA,70734,30.206521,-91.017809,Chemicals,NO,15700.0,0.0,0.0,39800.0
WESTLAKE CHEMICALS & VINYLS LLC,WESTLAKE,CALCASIEU PARISH,LA,70669,30.252222,-93.284444,Chemicals,NO,11905.32,0.0,0.0,13023.23
NOURYON PULP & PERFORMANCE CHEMICALS LLC,COLUMBUS,LOWNDES,MS,39702,33.423653,-88.395103,Chemicals,YES,2020.0,137.87,0.0,11236.57
INEOS OLIGOMERS USA LLC,LA PORTE,HARRIS,TX,77571,29.707324,-95.06695,Chemicals,NO,5485.9,0.0,0.0,5745.56
INV NYLON CHEMICALS AMERICAS ORANGE SITE,ORANGE,ORANGE,TX,77630,30.054167,-93.752208,Chemicals,NO,405.0,0.0,0.0,5438.0
BASIN ELECTRIC ANTELOPE VALLEY STATION,BEULAH,MERCER,ND,58523,47.370445,-101.838042,Chemicals,NO,576.0,0.0,0.0,20976.0
VALERO REFINING-TEXAS LP,TEXAS CITY,GALVESTON,TX,77590,29.369167,-94.911111,Petroleum,NO,120000.0,0.0,0.0,120000.0
VALERO REFINING CO-CALI FORNIA BENICIA REFINERY,BENICIA,SOLANO,CA,94510,38.07167,-122.13975,Petroleum,NO,76000.0,830.0,0.0,76834.0
LYONDELL CHEMICAL CO,CHANNELVIEW,HARRIS,TX,77530,29.816654,-95.107603,Chemicals,NO,15997.0,0.0,0.0,109766.0
PHILLIPS 66 LAKE CHARLES REFINERY,WESTLAKE,CALCASIEU PARISH,LA,70669,30.242155,-93.274386,Petroleum,YES,14622.0,44.0,0.0,20404.0
CHEMTALL INCORPORATED; FLOCRYL LLC,RICEBORO,LIBERTY,GA,31323,31.743668,-81.431776,Chemicals,NO,6300.0,3.0,0.0,10703.0
LINDE  PORT ARTHUR 2,PORT ARTHUR,JEFFERSON,TX,77640,29.89028,-93.9368,Chemicals,NO,37070.0,0.0,0.0,45576.0
ASCEND PERFORMANCE MATERIALS-CHOCOLATE BAYOU PLANT,ALVIN,BRAZORIA,TX,775110000,29.231225,-95.196088,Chemicals,NO,7.0,0.0,0.0,8563.0
ARLANXEO,ORANGE,ORANGE,TX,77630,30.047146,-93.769768,Chemicals,YES,21671.6,22.75,0.0,38302.95
SABIC INNOVATIVE PLASTICS MT. VERNON LLC,MOUNT VERNON,POSEY,IN,47620,37.9072,-87.9271,Chemicals,NO,0.0,54.0,0.0,15054.0
THE CHEMOURS CO,GREGORY,SAN PATRICIO,TX,78359,27.875556,-97.244722,Chemicals,NO,933.805,0.0,0.0,6597.605
BASIN ELECTRIC ANTELOPE VALLEY STATION,BEULAH,MERCER,ND,58523,47.370445,-101.838042,Chemicals,NO,39600.0,0.0,0.0,42630.0
GAC CHEMICAL CORP,SEARSPORT,WALDO,ME,4974,44.4684,-68.8844,Chemicals,NO,1660.87,657.0,0.0,8647.27
FLINT HILLS RESOURCES CORPUS CHRISTI LLC - EAST PLANT,CORPUS CHRISTI,NUECES,TX,78407,27.801778,-97.423972,Petroleum,NO,15453.0,0.0,0.0,15453.0
ECO SERVICES OPERATIONS CORP.,BAYTOWN,HARRIS,TX,77520,29.748056,-95.003556,Chemicals,NO,12039.8,0.0,0.0,12137.51
GLOBAL COMPOSITES INC PLANT 3,ELKHART,ELKHART,IN,46516,41.66984,-86.03374,Plastics and Rubber,YES,14573.0,0.0,0.0,16192.0
WESTLAKE LONGVIEW CORP,LONGVIEW,HARRISON,TX,75602,32.439278,-94.688436,Chemicals,NO,950.0,0.0,0.0,7244.0
CF INDUSTRIES NITROGEN LLC - YAZOO CITY MISSISSIPPI PLANT,YAZOO CITY,YAZOO,MS,39194,32.904606,-90.383153,Chemicals,NO,21926.0,848.0,0.0,22774.0
ITAFOS CONDA LLC,SODA SPRINGS,CARIBOU,ID,83276,42.739417,-111.541421,Chemicals,NO,2181.5,0.0,0.0,130417.2
PLACID REFINING CO LLC,PORT ALLEN,WEST BATON ROUGE PARISH,LA,70767,30.475803,-91.208107,Petroleum,NO,40121.0,0.0,0.0,40121.0
3M CO - NEVADA,NEVADA,VERNON,MO,64772,37.834476,-94.330625,Plastics and Rubber,YES,11000.0,0.0,0.0,12000.0
SEAGATE TERMINALS SAVANNAH LLC,SAVANNAH,CHATHAM,GA,31404,32.0718,-81.06566,Chemicals,NO,6068.0,0.0,0.0,9540.0
BIRLA CARBON USA INC,CENTERVILLE,ST. MARY PARISH,LA,70522,29.682045,-91.456159,Chemicals,NO,9864.76,0.0,0.0,9864.76
MALJAMAR GAS PROCESSING PLANT,MALJAMAR,LEA,NM,88264,32.813889,-103.771944,Natural Gas Processing,YES,7211.0,0.0,0.0,7211.0
LATHAM POOL PRODUCTS INC-CA,WILLIAMS,COLUSA,CA,95987,39.14128,-122.13503,Plastics and Rubber,NO,14339.0,0.0,0.0,14339.0
DIAMOND FIBERGLASS,VICTORIA,VICTORIA,TX,77905,28.76835,-97.091955,Plastics and Rubber,YES,40061.0,0.0,0.0,40061.0
J R SIMPLOT CO DON SID ING,POCATELLO,POWER,ID,83204,42.9089,-112.5239,Chemicals,NO,271610.0,0.0,0.0,449570.0
ABSOLUTE ENERGY LLC,SAINT ANSGAR,MITCHELL,IA,50472,43.49951,-92.91709,Chemicals,YES,5782.5,0.0,0.0,5782.6
ELANCO CLINTON LABORATORIES,CLINTON,VERMILLION,IN,47842,39.680574,-87.425738,Chemicals,NO,23000.0,0.0,0.0,23013.0
ALBEMARLE CORP SOUTH PLANT,MAGNOLIA,COLUMBIA,AR,71753,33.1756,-93.2169,Chemicals,NO,9952.0,0.0,0.0,11868.0
GUARDIAN AUTOMOTIVE - MOREHEAD PLANT,MOREHEAD,ROWAN,KY,40351,38.20968,-83.482457,Plastics and Rubber,NO,9426.0,0.0,0.0,9570.0
SHERWIN-WILLIAMS CO,KANKAKEE,KANKAKEE,IL,60901,41.130319,-87.856402,Chemicals,NO,6272.0,0.0,0.0,6272.0
SMOKY VALLEY COMMON OPERATION,ROUND MOUNTAIN,NYE,NV,89045,38.716408,-117.101879,Metal Mining,NO,0.0,0.0,0.0,132400.0
SHINTECH PLAQUEMINE PLANT,PLAQUEMINE,IBERVILLE PARISH,LA,70764,30.2594,-91.1737,Chemicals,NO,3801.25,0.0,0.0,5528.03
EXXONMOBIL BAYTOWN CHEMICAL PLANT (PART),BAYTOWN,HARRIS,TX,77520,29.73934,-95.022404,Chemicals,NO,150000.0,0.0,0.0,160000.0
CYTEC ENGINEERED MATERIALS INC.,PIEDMONT,GREENVILLE,SC,29673,34.73954,-82.39152,Chemicals,YES,33003.0,0.0,0.0,33891.0
ELLIOTT AUTO SUPPLY CO INC DBA SPLASH PRODUCTS,SAINT PAUL,RAMSEY,MN,55117,44.979181,-93.098273,Chemicals,NO,8615.0,0.0,0.0,9394.0
AIR PRODUCTS LLC,PASADENA,HARRIS,TX,77506,29.716191,-95.194361,Chemicals,NO,5723.0,0.0,0.0,5983.0
ARKEMA INC,CALVERT CITY,MARSHALL,KY,42029,37.056699,-88.365727,Chemicals,NO,7119.0,0.0,0.0,32276.0
MIDKIFF GAS PLANT,MIDKIFF,UPTON,TX,79755,31.48056,-101.835564,Natural Gas Processing,YES,21.0,0.0,0.0,11021.94
INEOS US CHEMICALS CO - COOPER RIVER PLANT,WANDO,BERKELEY,SC,29492,32.9722,-79.8833,Chemicals,NO,0.0,51000.0,0.0,51000.0
INV NYLON CHEMICALS AMERICAS VICTORIA SITE,VICTORIA,VICTORIA,TX,77905,28.673056,-96.953611,Chemicals,NO,4.0,0.0,0.0,87823.0
FORMOSA PLASTICS CORP TEXAS,POINT COMFORT,CALHOUN,TX,77978,28.69759,-96.542101,Chemicals,NO,703369.0,0.0,0.0,785087.0
RPS COMPOSITES OF ALABAMA INC,MOBILE,MOBILE,AL,36608,30.70494,-88.23953,Chemicals,YES,18582.0,0.0,0.0,18582.0
PHILLIPS 66 LAKE CHARLES REFINERY,WESTLAKE,CALCASIEU PARISH,LA,70669,30.242155,-93.274386,Petroleum,YES,10471.0,88.0,0.0,13384.0
INTERNATIONAL WAXES INC,SMETHPORT,MCKEAN,PA,16749,41.859383,-78.44517,Petroleum,NO,3.5,0.0,0.0,5510.5
AGCO INC,NORCROSS,GWINNETT,GA,30071,33.961834,-84.175742,Plastics and Rubber,YES,400.0,0.0,0.0,8400.0
CITGO REFINING & CHEMICALS CO LP EAST PLANT,CORPUS CHRISTI,NUECES,TX,78407,27.80962,-97.425869,Petroleum,NO,24988.41,0.0,0.0,27694.07
MOSAIC FERTILIZER LLC-NEW WALES PLANT,MULBERRY,POLK,FL,33860,27.834363,-82.049256,Chemicals,NO,48000.0,190.0,0.0,358190.0
TORRANCE REFINING CO LLC,TORRANCE,LOS ANGELES,CA,90504,33.85828,-118.3369,Petroleum,NO,79000.0,0.0,0.0,79000.0
SOLUTIA INC,SPRINGFIELD,HAMPDEN,MA,1151,42.154981,-72.526419,Plastics and Rubber,YES,944.0,0.0,0.0,7097.0
SIMPLOT PHOSPHATES LLC,ROCK SPRINGS,SWEETWATER,WY,82901,41.53841,-109.12746,Chemicals,NO,25.93,0.0,0.0,400009.39
CHEVRON PRODUCTS CO RICHMOND REFINERY,RICHMOND,CONTRA COSTA,CA,94801,37.938779,-122.396453,Petroleum,NO,0.0,34000.0,0.0,34000.0
THE DOW CHEMICAL CO,MIDLAND,MIDLAND,MI,48667,43.6003,-84.2234,Chemicals,NO,12000.0,0.0,0.0,20300.0
TESORO REFINING & MARKETING COMPANY LLC - SLC,SALT LAKE CITY,SALT LAKE,UT,84103,40.791667,-111.902778,Petroleum,NO,2900.0,0.0,0.0,7355.0
EASTMAN CHEMICAL CO TENNESSEE OPERATIONS,KINGSPORT,SULLIVAN,TN,37660,36.527055,-82.53858,Chemicals,NO,20223.0,21136.0,0.0,67163.0
EXXONMOBIL BAYTOWN CHEMICAL PLANT (PART),BAYTOWN,HARRIS,TX,77520,29.73934,-95.022404,Chemicals,YES,1900.0,66.0,0.0,5366.0
VALERO REFINING-TEXAS LP,TEXAS CITY,GALVESTON,TX,77590,29.369167,-94.911111,Petroleum,NO,13000.0,0.0,0.0,16001.0
MARATHON PETROLEUM CO LP - MICHIGAN REFINING DIV,DETROIT,WAYNE,MI,48217,42.280556,-83.152778,Petroleum,NO,1900.0,0.0,0.0,12900.0
ALON USA-BIG SPRING REFINERY,BIG SPRING,HOWARD,TX,79720,32.269104,-101.417673,Petroleum,YES,231776.14,0.0,0.0,232566.24
DUPONT PONTCHARTRAIN WORKS,LA PLACE,ST. JOHN THE BAPTIST PARISH,LA,70068,30.0589,-90.5241,Chemicals,YES,0.0,0.0,0.0,11900.0
ALBEMARLE CORP SOUTH PLANT,MAGNOLIA,COLUMBIA,AR,71753,33.1756,-93.2169,Chemicals,NO,1369.0,0.0,0.0,22307.0
DELAWARE CITY REFINERY,DELAWARE CITY,NEW CASTLE,DE,19706,39.591,-75.634,Petroleum,NO,52576.0,2592.0,0.0,55212.0
HARVEST LOUISIANA TERMINALS LLC - ALLIANCE TERMINAL,BELLE CHASSE,PLAQUEMINES PARISH,LA,70037,29.684887,-89.97613,Petroleum,YES,16462.0,5.0,0.0,22489.0
TESSENDERLO KERLEY INC.,COFFEYVILLE,MONTGOMERY,KS,67337,37.048587,-95.611253,Chemicals,NO,5046.0,0.0,0.0,33546.0
BERRYMAN PRODUCTS INC.,ARLINGTON,TARRANT,TX,76011,32.75063,-97.04112,Chemicals,NO,19000.0,0.0,0.0,48000.0
DOW CHEMICAL CO FREEPORT FACILITY,FREEPORT,BRAZORIA,TX,775413257,28.980147,-95.342272,Chemicals,NO,123814.0,30936.0,0.0,156956.0
ONEOK FIELD SVC/MAYSVILLE GAS PLT,MAYSVILLE,GARVIN,OK,73057,34.81455,-97.440591,Natural Gas Processing,NO,1998.0,0.0,0.0,18328.0
