Facility Name,City,County,State,ZIP,Latitude,Longitude,Industry Sector,Carcinogen,Stack Air,Water,Underground,On-Site Release Total
ADDIS CARBON BLACK PLANT,ADDIS,WEST BATON ROUGE PARISH,LA,70710,30.3288,-91.2792,Chemicals,NO,67604.0,0.0,0.0,67604.0
HONEYWELL INTERNATIONAL INC-BATON ROUGE PLANT,BATON ROUGE,EAST BATON ROUGE PARISH,LA,70805,30.474444,-91.183056,Chemicals,NO,56800.18,0.0,0.0,89720.085
AQUATIC CO,ELIZABETHTOWN,LANCASTER,PA,17022,40.1624,-76.65679,Plastics and Rubber,YES,17140.0,0.0,0.0,17140.0
INDUSTRIAL LAMINATES/NORPLEX INC,POSTVILLE,ALLAMAKEE,IA,52162,43.09011,-91.5549,Plastics and Rubber,YES,47553.0,0.0,0.0,47889.0
INEOS NITRILES USA LLC           GREEN LAKE PLANT,PORT LAVACA,CALHOUN,TX,77979,28.570964,-96.83341,Chemicals,YES,0.0,0.0,0.0,60796.0
PCS PHOSPHATE CO INC,AURORA,BEAUFORT,NC,27806,35.37745,-76.778816,Chemicals,NO,69.1,0.0,0.0,741560.834
BRAVO INC.,LEXINGTON,HENDERSON,TN,38351,35.719736,-88.381552,Plastics and Rubber,YES,23811.0,0.0,0.0,23811.0
FUTAMURA USA INC,TECUMSEH,SHAWNEE,KS,66542,39.05336,-95.557551,Chemicals,NO,51507.0,0.0,0.0,70557.0
SEKISUI SPECIALTY CHEMICALS AMERICA LLC. - PASADENA PLANT,PASADENA,HARRIS,TX,77506,29.716059,-95.189998,Chemicals,YES,4518.0,0.0,0.0,6023.0
ARLANXEO,ORANGE,ORANGE,TX,77630,30.047146,-93.769768,Chemicals,NO,349.8,22.75,0.0,7485.35
CHEMOURS DELISLE PLANT,PASS CHRISTIAN,HARRISON,MS,39571,30.389186,-89.308892,Chemicals,NO,16.0,75.0,0.0,22724.0
THARALDSON ETHANOL PLANT I LLC,CASSELTON,CASS,ND,58012,46.90411,-97.26349,Chemicals,YES,15776.21,0.0,0.0,15812.72
WHARF RESOURCES,LEAD,LAWRENCE,SD,57754,44.34444,-103.86166,Metal Mining,NO,0.0,28.0,0.0,7432.0
GUARDIAN ENERGY HANKINSON,HANKINSON,RICHLAND,ND,58041,46.073186,-96.886775,Chemicals,NO,9633.96,0.0,0.0,12532.06
NOURYON SURFACE CHEMISTRY LLC,HOUSTON,HARRIS,TX,77053,29.583889,-95.433889,Chemicals,NO,210.0,0.0,0.0,6932.0
WATERS TECHNOLOGY CORP,TAUNTON,BRISTOL,MA,2780,41.95257,-71.13507,Chemicals,NO,13630.0,0.0,0.0,13815.0
CHEVRON PHILLIPS CHEMICAL CO LP,BAYTOWN,HARRIS,TX,77521,29.826,-94.921917,Chemicals,YES,29556.0,0.0,0.0,30513.0
HUNTSMAN INTERNATIONAL LLC,HOUSTON,HARRIS,TX,77012,29.72061,-95.27017,Chemicals,NO,4909.0,0.0,0.0,5095.0
LSB CHEMICAL LLC,CHEROKEE,COLBERT,AL,35616,34.80302,-87.93974,Chemicals,NO,189523.0,2591.0,0.0,553188.0
FLEXCON CO INC.,SPENCER,WORCESTER,MA,1562,42.23265,-72.01162,Plastics and Rubber,NO,7636.0,0.0,0.0,7927.0
"ALTIVIA PETROCHEMICALS, LLC",HAVERHILL,SCIOTO,OH,45636,38.59167,-82.81944,Chemicals,NO,230.0,2134.0,0.0,8405.0
BIG RIVER UNITED ENERGY LLC,DYERSVILLE,DELAWARE,IA,52040,42.4872,-91.1633,Chemicals,YES,5947.61,0.0,0.0,5949.61
SHELL CHEMICAL LP,DEER PARK,HARRIS,TX,77536,29.722222,-95.126944,Chemicals,YES,38000.0,0.0,0.0,44900.0
EXXONMOBIL OIL CORP JOLIET REFINERY,CHANNAHON,WILL,IL,60410,41.413831,-88.18346,Petroleum,NO,8775.4,32.6,0.0,33842.2
BASF CORP,GEISMAR,ASCENSION PARISH,LA,70734,30.1979,-91.0035,Chemicals,NO,1530.0,0.0,0.0,5060.0
BLUE CUBE OPERATIONS LLC - PLAQUEMINE SITE,PLAQUEMINE,IBERVILLE PARISH,LA,70764,30.313897,-91.240605,Chemicals,YES,2439.0,0.0,0.0,6664.0
VALERO REFINING CO-CALI FORNIA BENICIA REFINERY,BENICIA,SOLANO,CA,94510,38.07167,-122.13975,Petroleum,NO,0.0,240000.0,0.0,240000.0
MARATHON PETROLEUM CO LP ILLINOIS REFINING DIV,ROBINSON,CRAWFORD,IL,62454,39.002146,-87.725378,Petroleum,NO,2777.0,0.0,0.0,6387.0
CITGO PETROLEUM CORP,SULPHUR,CALCASIEU PARISH,LA,70665,30.18149,-93.324051,Petroleum,NO,4086.0,674.0,0.0,8621.0
AUSTIN POWDER CO,MC ARTHUR,VINTON,OH,45651,39.260361,-82.428116,Chemicals,NO,5000.0,0.0,0.0,5000.0
CORE MOLDING TECHNOLOGIES,GAFFNEY,CHEROKEE,SC,29340,35.10554,-81.60102,Plastics and Rubber,YES,0.0,0.0,0.0,25098.6
MATERION NATURAL RESOURCES INC MILL,DELTA,MILLARD,UT,84624,39.46657,-112.438488,Metal Mining,NO,1.0,0.0,0.0,58001.0
MEXICHEM SPECIALTY RESINS INC,PEDRICKTOWN,SALEM,NJ,8067,39.766944,-75.421361,Chemicals,YES,14674.0,15.0,0.0,18418.0
ST CHARLES OPERATIONS (TAFT/STAR) UNION CARBIDE CORP,HAHNVILLE,ST. CHARLES PARISH,LA,70057,29.9829,-90.4437,Chemicals,NO,20210.0,12534.0,0.0,37924.0
CELANESE ACETATE LLC - CELCO PLANT,NARROWS,GILES,VA,24124,37.3451,-80.76293,Chemicals,NO,2242.0,0.0,0.0,113726.0
ASCEND PERFORMANCE MATERIALS-CHOCOLATE BAYOU PLANT,ALVIN,BRAZORIA,TX,775110000,29.231225,-95.196088,Chemicals,YES,26047.0,0.0,0.0,3883584.0
POET BIOREFINING-NORTH MANCHESTER LLC,NORTH MANCHESTER,WABASH,IN,46962,40.9461,-85.7834,Chemicals,YES,9900.0,0.0,0.0,9929.0
VALERO REFINING-TEXAS LP CORPUS CHRISTI WEST PLANT,CORPUS CHRISTI,NUECES,TX,78407,27.81775,-97.482552,Petroleum,YES,8188.0,2.95,0.0,11192.746
SABIC INNOVATIVE PLASTICS US LLC,OTTAWA,LASALLE,IL,61350,41.334533,-88.755775,Chemicals,NO,4923.0,3.0,0.0,5038.0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,CARSON,LOS ANGELES,CA,90745,33.815889,-118.243953,Petroleum,NO,46000.0,0.0,0.0,46450.0
BVPV STYRENICS LLC,MONACA,BEAVER,PA,15061,40.655278,-80.356389,Plastics and Rubber,YES,12080.65,19.01,0.0,16698.82
CELANESE EMULSIONS ENOREE PLANT,ENOREE,SPARTANBURG,SC,29335,34.677171,-81.978869,Chemicals,NO,42000.0,0.0,0.0,44900.0
BIG RIVER RESOURCES WEST BURLINGTON LLC,WEST BURLINGTON,DES MOINES,IA,52655,40.83081,-91.220681,Chemicals,NO,5905.52,0.0,0.0,6312.92
CALUMET SHREVEPORT REFINING LLC,SHREVEPORT,CADDO PARISH,LA,71109,32.470833,-93.790833,Petroleum,NO,0.0,52660.5,0.0,52660.5
MEGGITT POLYMERS & COMPOSITES ROCKMART,ROCKMART,POLK,GA,30153,34.00291,-85.03638,Plastics and Rubber,NO,19848.0,0.0,0.0,84912.0
CF INDUSTRIES NITROGEN LLC-PORT NEAL NITROGEN COMPLEX,SERGEANT BLUFF,WOODBURY,IA,51054,42.328004,-96.363891,Chemicals,NO,899237.0,25042.0,0.0,1558809.0
COS-MAR CO,CARVILLE,IBERVILLE PARISH,LA,70721,30.225083,-91.069424,Chemicals,YES,19000.0,2.6,0.0,37002.6
DYNO NOBEL- ST.HELENS PLANT,DEER ISLAND,COLUMBIA,OR,97054,45.9122,-122.8286,Chemicals,NO,5745065.0,1094.0,0.0,6105712.0
EASTMAN CHEMICAL CO TEXAS OPERATIONS,LONGVIEW,HARRISON,TX,75602,32.438056,-94.69,Chemicals,YES,28885.0,108.0,0.0,29531.0
SOLVAY SPECIALTY POLYMERS USA LLC,ORANGE,ORANGE,TX,77630,30.048611,-93.771944,Chemicals,NO,8845.0,0.0,0.0,22917.0
WILSONART LLC,FLETCHER,HENDERSON,NC,28732,35.43584,-82.47971,Plastics and Rubber,NO,12624.0,5.0,0.0,14545.0
WESTERN EL PASO REFINERY,EL PASO,EL PASO,TX,79905,31.768889,-106.401667,Petroleum,NO,6003.712,0.0,0.0,11251.583
PATRICK INDUSTRIES INC DBA BAYMONT INDUSTRIES PLANT NO. 2,BELMONT,TISHOMINGO,MS,38827,34.486944,-88.205278,Plastics and Rubber,YES,93912.0,0.0,0.0,93912.0
PATRICK INDUSTRIES INC. D/B/A ALPHA SYSTEMS,ELKHART,ELKHART,IN,46516,41.69383,-85.89163,Chemicals,NO,0.0,0.0,0.0,8370.0
INDORAMA VENTURES,DECATUR,MORGAN,AL,35601,34.6415,-87.0589,Chemicals,YES,1.0,9878.0,0.0,9880.0
EQUISTAR CHEMICALS LP,CORPUS CHRISTI,NUECES,TX,78410,27.81,-97.593611,Chemicals,NO,34464.57,0.0,0.0,61409.72
CORNERSTONE CHEMICAL CO,WESTWEGO,JEFFERSON PARISH,LA,70094,29.958889,-90.270472,Chemicals,NO,0.0,20.0,0.0,564127.0
EAST STORAGE / SPLITTER III FACILITY,MONT BELVIEU,CHAMBERS,TX,77580,29.840014,-94.892134,Petroleum,NO,25280.0,0.0,0.0,51211.0
VALERO REFINING-TEXAS LP,TEXAS CITY,GALVESTON,TX,77590,29.369167,-94.911111,Petroleum,NO,7600.0,1.0,0.0,15502.0
SHELL NORCO CHEMICAL PLANT,NORCO,ST. CHARLES PARISH,LA,70079,30.000964,-90.403863,Petroleum,NO,12702.0,0.0,0.0,12702.0
MARATHON MANDAN REFINERY,MANDAN,MORTON,ND,58554,46.8441,-100.8855,Petroleum,NO,10000.0,430.0,0.0,10432.0
DOW SILICONES CORP,CARROLLTON,CARROLL,KY,41008,38.7074,-85.1048,Chemicals,NO,7100.0,0.0,0.0,7900.0
KOCH FERTILIZER ENID LLC,ENID,GARFIELD,OK,73701,36.3791,-97.7613,Chemicals,YES,15871.0,0.0,0.0,16100.0
EXXONMOBIL CHEMICAL CO BAYTOWN OLEFINS PLANT (PART),BAYTOWN,HARRIS,TX,77520,29.73934,-95.022404,Chemicals,NO,4000.0,0.0,0.0,5300.0
EXXONMOBIL CHEMICAL CO BAYTOWN OLEFINS PLANT (PART),BAYTOWN,HARRIS,TX,77520,29.73934,-95.022404,Chemicals,NO,2200.0,46086.0,0.0,48287.0
INTERNATIONAL WAXES INC,SMETHPORT,MCKEAN,PA,16749,41.859383,-78.44517,Petroleum,NO,35534.0,0.0,0.0,285063.0
CITGO REFINING & CHEMICALS CO LP EAST PLANT,CORPUS CHRISTI,NUECES,TX,78407,27.80962,-97.425869,Petroleum,NO,221.92,0.0,0.0,6739.94
US BATH GROUP LLC - DBA - MPL CO,FAIRLAND,SHELBY,IN,46126,39.58886,-85.86705,Plastics and Rubber,YES,28890.0,0.0,0.0,115561.0
NUTRIEN US LLC,BORGER,HUTCHINSON,TX,79007,35.6417,-101.4228,Chemicals,NO,412237.0,1411.0,0.0,1140702.0
FLINT HILLS RESOURCES PINE BEND LLC,ROSEMOUNT,DAKOTA,MN,55068,44.764434,-93.039484,Petroleum,NO,54339.0,0.0,0.0,54339.0
EXXONMOBIL BAYTOWN CHEMICAL PLANT (PART),BAYTOWN,HARRIS,TX,77520,29.73934,-95.022404,Chemicals,NO,40000.0,688.0,0.0,72688.0
TRONOX LLC,HAMILTON,MONROE,MS,39746,33.730556,-88.4525,Chemicals,NO,198573.0,0.0,0.0,208974.0
ALTAMONT GAS PLANT-KINDER MORGAN,ALTAMONT,DUCHESNE,UT,84001,40.35932,-110.28605,Natural Gas Processing,NO,5901.74,0.0,0.0,9081.74
3V SIGMA USA,GEORGETOWN,GEORGETOWN,SC,29440,33.362222,-79.383056,Chemicals,NO,54.0,0.0,0.0,29919.0
HF SINCLAIR PARCO REFINING LLC,SINCLAIR,CARBON,WY,82334,41.77899,-107.104,Petroleum,NO,28000.0,0.0,0.0,28240.0
OWENSBORO SPECIALTY POLYMERS INC,OWENSBORO,DAVIESS,KY,42303,37.8125,-87.05,Chemicals,YES,7900.99,0.0,0.0,8297.99
ELITE OCTANE LLC,ATLANTIC,CASS,IA,50022,41.41772,-95.03182,Chemicals,NO,5870.95,0.0,0.0,7370.36
SEATEX - EL CAMPO,EL CAMPO,WHARTON,TX,77437,29.201861,-96.257409,Chemicals,NO,0.0,0.0,0.0,10331.0
HONEYWELL SAFETY PRODUCTS,CLOVER,YORK,SC,29710,35.09756,-81.24049,Plastics and Rubber,YES,68765.0,0.0,0.0,72863.0
EXXONMOBIL OIL CORP JOLIET REFINERY,CHANNAHON,WILL,IL,60410,41.413831,-88.18346,Petroleum,NO,672311.8,0.0,0.0,672313.0
GATEWAY GAS PLANT,GARDEN CITY,REAGAN,TX,79739,31.644859,-101.63231,Natural Gas Processing,YES,5400.0,0.0,0.0,5480.0
NEVILLE CHEMICAL CO,PITTSBURGH,ALLEGHENY,PA,15225,40.502778,-80.099167,Chemicals,NO,13.0,0.0,0.0,5589.0
NYRSTAR CLARKSVILLE INC,CLARKSVILLE,MONTGOMERY,TN,37040,36.518398,-87.40293,Metal Mining,YES,194.0,674.0,0.0,795956.0
DUPONT CIRCLEVILLE PLANT,CIRCLEVILLE,PICKAWAY,OH,43113,39.55762,-82.96377,Chemicals,NO,0.0,27590.0,0.0,27590.0
CHEMOURS DELISLE PLANT,PASS CHRISTIAN,HARRISON,MS,39571,30.389186,-89.308892,Chemicals,NO,1.0,276.0,0.0,5255567.0
GULF COAST GROWTH VENTURES LLC,GREGORY,SAN PATRICIO,TX,78359,27.925021,-97.316393,Chemicals,YES,6784.5,5.3,0.0,7638.85
LANXESS - CENTRAL,EL DORADO,UNION,AR,71730,33.1831,-92.7069,Chemicals,NO,4474.0,85.0,0.0,189660.0
GULF OIL LP WOODBURY TERMINAL,THOROFARE,GLOUCESTER,NJ,8086,39.822793,-75.17739,Petroleum Bulk Terminals,NO,5138.98,127.0,0.0,5265.98
KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,BINGHAM CANYON,SALT LAKE,UT,84006,40.516666,-112.150002,Metal Mining,NO,19.0,20.0,0.0,191272990.3
VALERO REFINING CO -OKLAHOMA VALERO ARDMORE REFINERY,ARDMORE,CARTER,OK,73401,34.20569,-97.10417,Petroleum,NO,28523.0,0.0,0.0,28528.0
SIMPLOT PHOSPHATES LLC,ROCK SPRINGS,SWEETWATER,WY,82901,41.53841,-109.12746,Chemicals,NO,28577.0,0.0,0.0,28582.0
RED HILLS GAS PLANT,JAL,LEA,NM,88252,32.210556,-103.523889,Natural Gas Processing,YES,120000.0,0.0,0.0,154000.0
SABIC INNOVATIVE PLASTICS MT. VERNON LLC,MOUNT VERNON,POSEY,IN,47620,37.9072,-87.9271,Chemicals,NO,11000.0,337.0,0.0,30337.0
MOLDING PRODUCTS LLC,SOUTH BEND,ST JOSEPH,IN,46619,41.657605,-86.283101,Chemicals,YES,37852.0,0.0,0.0,38102.0
MARATHON PETROLEUM CO LP ILLINOIS REFINING DIV,ROBINSON,CRAWFORD,IL,62454,39.002146,-87.725378,Petroleum,NO,51412.0,0.0,0.0,51412.0
J R SIMPLOT CO DON SID ING,POCATELLO,POWER,ID,83204,42.9089,-112.5239,Chemicals,NO,0.9,0.0,0.0,72043.2
HAVERHILL COKE CO LLC,FRANKLIN FURNACE,SCIOTO,OH,45629,38.5973,-82.8271,Petroleum,NO,162840.0,0.0,0.0,162840.0
CHINO MINES CO MINE CONCENTRATOR-SXEW PLANTS,VANADIUM,GRANT,NM,88023,32.791667,-108.067222,Metal Mining,YES,0.0,0.0,0.0,61000.0
SHELL CHEMICAL LP - MARTINEZ CATALYST PLANT,MARTINEZ,CONTRA COSTA,CA,94553,38.025771,-122.11613,Chemicals,NO,848.0,24.4,0.0,9434.4
JACKSON GAS PLANT,GANADO,JACKSON,TX,77962,29.109572,-96.537644,Natural Gas Processing,YES,6861.0,0.0,0.0,6861.0
CHS MCPHERSON REFINERY - SRU,MCPHERSON,MCPHERSON,KS,67460,38.347278,-97.673846,Petroleum,NO,222.0,0.0,0.0,8122.0
ONEOK HYDROCARBON L.P. - HUTCHINSON FRACTIONATION FACILITY,HUTCHINSON,RENO,KS,67501,38.029947,-97.976653,Natural Gas Processing,NO,3302.0,0.0,0.0,5171.0
INEOS COMPOSITES US LLC,PITTSBURGH,ALLEGHENY,PA,15225,40.49761,-80.09127,Chemicals,YES,8177.0,0.0,0.0,10764.0
UNION CARBIDE CORP SEADRIFT PLANT,SEADRIFT,CALHOUN,TX,77983,28.510636,-96.771527,Chemicals,NO,3229.0,0.0,0.0,14621.0
FREEPORT-MCMORAN MORENCI INC,MORENCI,GREENLEE,AZ,85540,33.065,-109.34222,Metal Mining,NO,0.0,0.0,0.0,500005.0
ASCEND PERFORMANCE MATERIALS OPERATIONS LLC,CANTONMENT,ESCAMBIA,FL,325338926,30.596678,-87.251977,Chemicals,NO,6920.0,0.0,0.0,7613.0
TITAN COATINGS INC,BESSEMER,JEFFERSON,AL,35022,33.34342,-86.92063,Chemicals,NO,16736.0,0.0,0.0,20920.0
EASTMAN CHEMICAL CO TEXAS OPERATIONS,LONGVIEW,HARRISON,TX,75602,32.438056,-94.69,Chemicals,YES,6157.0,0.0,0.0,7360.0
SOUTHERN CHEMICAL & TEXTILES INC,DALTON,WHITFIELD,GA,30721,34.714506,-84.957227,Chemicals,YES,381.0,0.0,0.0,6596.0
ALBEMARLE CORP SOUTH PLANT,MAGNOLIA,COLUMBIA,AR,71753,33.1756,-93.2169,Chemicals,NO,15976.0,0.0,0.0,18776.0
USS-CLAIRTON PLANT,CLAIRTON,ALLEGHENY,PA,15025,40.305088,-79.876911,Petroleum,NO,1.0,2913955.0,0.0,2915304.0
ALPEK POLYESTER USA LLC COOPER RIVER PLANT,MONCKS CORNER,BERKELEY,SC,29461,33.056714,-79.941352,Chemicals,NO,91.0,11307.0,0.0,11398.0
MPM SILICONES LLC,FRIENDLY,TYLER,WV,26146,39.484572,-81.093403,Chemicals,NO,11010.0,37.0,0.0,18737.0
PVS CHEMICAL SOLUTIONS,BUFFALO,ERIE,NY,14210,42.864395,-78.840832,Chemicals,NO,9083.0,0.0,0.0,9833.0
PLYMOUTH ENERGY LLC,MERRILL,PLYMOUTH,IA,51038,42.732855,-96.252702,Chemicals,NO,1728.0,0.0,0.0,5657.0
EXXONMOBIL OIL CORP CHEMICAL PLANT (PART),BEAUMONT,JEFFERSON,TX,77701,30.069957,-94.062144,Chemicals,NO,70000.0,0.0,0.0,76300.0
DOW VICTORIA SITE,VICTORIA,VICTORIA,TX,77905,28.678574,-96.951973,Chemicals,NO,82881.0,0.0,0.0,85547.0
GIDDINGS GAS PLANT,GIDDINGS,FAYETTE,TX,78945,30.140193,-96.964298,Natural Gas Processing,YES,12000.0,0.0,0.0,12000.0
EASTMAN CHEMICAL CO TENNESSEE OPERATIONS,KINGSPORT,SULLIVAN,TN,37660,36.527055,-82.53858,Chemicals,NO,6395.0,0.0,0.0,6417.0
EXXONMOBIL BAYTOWN CHEMICAL PLANT (PART),BAYTOWN,HARRIS,TX,77520,29.73934,-95.022404,Chemicals,YES,8500.0,101.0,0.0,15501.0
OXY VINYLS LP PASADENA PVC PLANT,PASADENA,HARRIS,TX,77503,29.712018,-95.14674,Chemicals,YES,7281.0,0.06,0.0,7284.26
HONEYWELL INTERNATIONAL INC GEISMAR PLANT,CARVILLE,ASCENSION PARISH,LA,70721,30.2219,-91.0515,Chemicals,NO,0.0,408.5,0.0,25978.951
DELEK TYLER REFINERY,TYLER,SMITH,TX,75702,32.362643,-95.280179,Petroleum,NO,1288.0,0.0,0.0,14039.0
GODLEY GAS PLANT,GODLEY,JOHNSON,TX,76044,32.49973,-97.55173,Natural Gas Processing,NO,8119.0,0.0,0.0,8119.0
NEVADA GOLD MINES LLC - TURQUOISE RIDGE,GOLCONDA,HUMBOLDT,NV,89414,41.216,-117.212,Metal Mining,YES,0.0,0.0,0.0,23913.0
CHS INC.  LAUREL REFINERY,LAUREL,YELLOWSTONE,MT,59044,45.65922,-108.76778,Petroleum,NO,9005.0,1.0,0.0,11632.0
CHEVRON PRODUCTS CO. DIV OF CHEVRON USA INC.,EL SEGUNDO,LOS ANGELES,CA,90245,33.9082,-118.4085,Petroleum,NO,0.0,1700000.0,0.0,1700000.0
SIMPLOT PHOSPHATES LLC,ROCK SPRINGS,SWEETWATER,WY,82901,41.53841,-109.12746,Chemicals,YES,28.95,0.0,0.0,25395.34
MOSES LAKE INDUSTRIES INC,MOSES LAKE,GRANT,WA,98837,47.202776,-119.29322,Chemicals,YES,0.0,0.0,0.0,31000.0
OCCIDENTAL CHEMICAL HOLDING CORP - GEISMAR PLANT,GEISMAR,ASCENSION PARISH,LA,70734,30.181862,-90.986959,Chemicals,YES,2954.0,5.0,0.0,5694.0
SIMPLOT PHOSPHATES LLC,ROCK SPRINGS,SWEETWATER,WY,82901,41.53841,-109.12746,Chemicals,NO,0.0,0.0,0.0,73734.0
CHEMOURS BELLE PLANT,BELLE,KANAWHA,WV,25015,38.24377,-81.55393,Chemicals,NO,0.0,260776.0,0.0,260776.0
DEER PARK REFINING LP,DEER PARK,HARRIS,TX,77536,29.722222,-95.126944,Petroleum,NO,22000.0,0.0,0.0,22110.0
FORT KNOX MINE,FAIRBANKS,FAIRBANKS NORTH STAR BOROUGH,AK,99712,64.99953,-147.358107,Metal Mining,NO,38.0,0.0,0.0,45038.0
INV NYLON CHEMICALS AMERICAS VICTORIA SITE,VICTORIA,VICTORIA,TX,77905,28.673056,-96.953611,Chemicals,NO,0.0,0.0,0.0,57322.0
PHILLIPS 66 FERNDALE REFINERY,FERNDALE,WHATCOM,WA,98248,48.830142,-122.692114,Petroleum,NO,3833.0,0.0,0.0,5701.0
WHITE SPRINGS AGRICULTURAL CHEMICALS INC. - NUTRIEN,WHITE SPRINGS,HAMILTON,FL,32096,30.440833,-82.788056,Chemicals,NO,0.0,0.0,0.0,178903.0
CHEMOURS DELISLE PLANT,PASS CHRISTIAN,HARRISON,MS,39571,30.389186,-89.308892,Chemicals,NO,6.0,2.0,0.0,1232077.0
MONROE ENERGY LLC-TRAINER REFINERY,TRAINER,DELAWARE,PA,19061,39.829311,-75.401169,Petroleum,NO,23190.0,0.0,0.0,35804.0
FREEPORT-MCMORAN SIERRITA INC,GREEN VALLEY,PIMA,AZ,85614,31.876444,-111.100472,Metal Mining,NO,0.0,0.0,0.0,22300.0
BASF CORP - FREEPORT SITE,FREEPORT,BRAZORIA,TX,77541,29.002075,-95.399777,Chemicals,NO,7885.52,0.0,0.0,10887.3
WESTLAKE PETROCHEMICALS ETHYLENE,SULPHUR,CALCASIEU PARISH,LA,70665,30.177,-93.357,Chemicals,NO,43335.07,0.0,0.0,71712.49
MARATHON PETROLEUM CO LP - MICHIGAN REFINING DIV,DETROIT,WAYNE,MI,48217,42.280556,-83.152778,Petroleum,NO,7500.0,0.0,0.0,15201.0
BP PRODUCTS NA WHITING BUSINESS UNIT,WHITING,LAKE,IN,46394,41.663055,-87.479643,Petroleum,NO,110000.0,810.0,0.0,110891.0
MOLDED FIBER GLASS NORTH CAROLINA,MORGANTON,BURKE,NC,28655,35.72082,-81.75862,Plastics and Rubber,YES,6997.02,0.0,0.0,7163.2
SHELL CHEMICAL LP,DEER PARK,HARRIS,TX,77536,29.722222,-95.126944,Chemicals,NO,0.0,30340.0,0.0,30340.0
EAGLE MINE,MICHIGAMME,MARQUETTE,MI,49861,46.747492,-87.879746,Metal Mining,NO,4.3,0.0,0.0,180007.73
AMERICAN STANDARD BRANDS,GRAND PRAIRIE,DALLAS,TX,75050,32.75268,-97.01693,Plastics and Rubber,YES,11405.1,0.0,0.0,11405.1
CHEMOURS WASHINGTON WORKS,WASHINGTON,WOOD,WV,26181,39.271944,-81.661667,Chemicals,NO,10507.0,0.0,0.0,19803.5
CORNERSTONE CHEMICAL CO,WESTWEGO,JEFFERSON PARISH,LA,70094,29.958889,-90.270472,Chemicals,YES,0.0,166.0,0.0,259624.1
TSE INDUSTRIES INC.,CLEARWATER,PINELLAS,FL,33760,27.874507,-82.705129,Plastics and Rubber,NO,20111.0,0.0,0.0,38798.0
P4 PRODUCTION LLC,SODA SPRINGS,CARIBOU,ID,83276,42.687031,-111.5878,Chemicals,YES,3878.0,0.0,0.0,218648.26
PRIMARY PACKAGING INC (0679000276),BOLIVAR,TUSCARAWAS,OH,44612,40.63765,-81.46035,Plastics and Rubber,NO,5018.0,0.0,0.0,5018.0
LINDE INC,EAST CHICAGO,LAKE,IN,46312,41.668631,-87.472829,Chemicals,NO,78496.0,0.0,0.0,79671.0
SAND HILLS GAS PLANT,CRANE,CRANE,TX,79731,31.501667,-102.640277,Natural Gas Processing,YES,1100.0,0.0,0.0,98100.0
LYCUS LTD,EL DORADO,UNION,AR,71730,33.200279,-92.610922,Chemicals,NO,16995.0,0.0,0.0,17000.0
ST CHARLES OPERATIONS (TAFT/STAR) UNION CARBIDE CORP,HAHNVILLE,ST. CHARLES PARISH,LA,70057,29.9829,-90.4437,Chemicals,NO,97152.0,0.0,0.0,125749.0
CHIEF ETHANOL FUELS INC.,LEXINGTON,DAWSON,NE,68850,40.746088,-99.767869,Chemicals,YES,8019.0,0.0,0.0,8061.0
EQUISTAR CHEMICALS LP,MORRIS,GRUNDY,IL,60450,41.412897,-88.329773,Chemicals,NO,8888.0,0.0,0.0,8902.0
INDORAMA VENTURES,DECATUR,MORGAN,AL,35601,34.6415,-87.0589,Chemicals,NO,20325.0,0.0,0.0,20411.0
EES COKE BATTERY LLC,RIVER ROUGE,WAYNE,MI,48218,42.283105,-83.113962,Petroleum,NO,31000.0,0.0,0.0,31240.0
HF SINCLAIR PARCO REFINING LLC,SINCLAIR,CARBON,WY,82334,41.77899,-107.104,Petroleum,NO,6500.0,0.0,0.0,11000.0
EAGLE MINE,MICHIGAMME,MARQUETTE,MI,49861,46.747492,-87.879746,Metal Mining,YES,0.51,0.0,0.0,28005.05
CHEROKEE PHARMACEUTICALS LLC.,RIVERSIDE,NORTHUMBERLAND,PA,17868,40.96131,-76.64329,Chemicals,NO,11.0,1474.0,0.0,7590.0
J R SIMPLOT CO DON SID ING,POCATELLO,POWER,ID,83204,42.9089,-112.5239,Chemicals,NO,20001.0,0.0,0.0,424702.0
EASTMAN CHEMICAL CO TENNESSEE OPERATIONS,KINGSPORT,SULLIVAN,TN,37660,36.527055,-82.53858,Chemicals,NO,50449.0,0.0,0.0,50449.0
JERRITT CANYON MINE,ELKO,ELKO,NV,89801,41.408933,-115.904286,Metal Mining,NO,0.0,0.0,0.0,116700.0
HECLA LTD LUCKY FRIDAY MINE UNIT,MULLAN,SHOSHONE,ID,83846,47.470047,-115.78342,Metal Mining,NO,86.36,11.36,0.0,3084686.77
DUPONT PONTCHARTRAIN WORKS,LA PLACE,ST. JOHN THE BAPTIST PARISH,LA,70068,30.0589,-90.5241,Chemicals,NO,0.0,0.0,0.0,978594.0
CHEMTALL INCORPORATED; FLOCRYL LLC,RICEBORO,LIBERTY,GA,31323,31.743668,-81.431776,Chemicals,YES,5500.0,18.0,0.0,5518.0
AIR PRODUCTS WEST COAST HYDROGEN LLC - TORRANCE,TORRANCE,LOS ANGELES,CA,90504,33.8692,-118.33159,Chemicals,NO,19000.0,0.0,0.0,19001.0
