,COUNTY_FIPS_CODE,WATER_QUALITY_COUNTY_SCORE
4232,48039.0,67.752565798
4248,48041.0,50.494761508
4255,48043.0,55.709477331
4259,48045.0,50.866674867
4261,48047.0,43.558774506
4263,48049.0,48.689974967
4270,48051.0,59.999810782
4273,48053.0,63.839412331
4277,48055.0,48.82703032
4285,48057.0,60.23533016
4289,48059.0,52.52586769
4293,48061.0,56.150108136
4309,48063.0,51.613634248
4311,48065.0,43.558774506
4315,48067.0,61.926842917
4326,48069.0,57.877706689
4329,48071.0,60.23081808
4335,48073.0,60.520140065
4343,48075.0,42.706995364
4344,48077.0,54.302272355
4348,48079.0,47.941340992
4351,48081.0,47.37099762
4355,48083.0,41.677826812
4365,48085.0,49.299437081
4393,48087.0,42.706995364
4396,48089.0,59.737602683
4406,48091.0,66.810334774
4413,48093.0,52.461356765
4419,48095.0,58.439681694
4422,48097.0,61.269569897
4428,48099.0,51.936729825
4434,48101.0,40.123177019
4435,48103.0,38.609546931
4436,48105.0,44.396804626
4437,48107.0,48.403942568
4440,48109.0,47.248608205
4442,48111.0,51.0999659
4444,48113.0,53.64894509
4526,48115.0,54.010175848
4529,48117.0,47.310180668
4531,48119.0,40.377413231
4537,48121.0,65.061752907
4564,48123.0,51.960732388
4569,48125.0,46.515439203
4573,48127.0,57.406025573
4576,48129.0,46.295113176
4578,48131.0,54.839400637
4583,48133.0,55.853475733
4591,48135.0,58.535927814
4599,48137.0,55.537954352
4600,48139.0,55.036374349
4613,48141.0,65.121011744
4641,48143.0,60.683487555
4644,48145.0,56.19107134
4650,48147.0,49.380693318
4663,48149.0,54.634274008
4672,48151.0,50.77627991
4676,48153.0,39.271397877
4678,48155.0,51.128370101
4679,48157.0,64.11083792
4700,48159.0,41.070146017
4702,48161.0,56.241803815
4708,48163.0,55.776458343
4712,48165.0,59.559930634
4715,48167.0,59.865583483
4732,48169.0,51.295459613
4733,48171.0,60.046881596
4738,48173.0,39.271397877
4739,48175.0,43.007482482
4742,48177.0,51.690085935
4749,48179.0,54.196649983
4753,48181.0,62.382901148
4770,48183.0,54.376362216
4779,48185.0,58.166654588
4785,48187.0,59.84610794
4792,48189.0,57.453684781
4798,48191.0,53.665948604
4802,48193.0,42.219075228
4804,48195.0,44.285417479
4806,48197.0,49.98682399
4808,48199.0,57.485204884
4817,48201.0,75.529007927
4948,48203.0,65.209419113
4954,48205.0,42.549632323
4955,48207.0,51.071397986
4961,48209.0,62.859293852
4968,48211.0,36.419594297
4970,48213.0,59.008334575
4984,48215.0,58.679968206
5011,48217.0,60.244342016
5026,48219.0,60.171784169
5032,48221.0,63.480136129
5037,48223.0,53.013787827
5045,48225.0,50.196285557
5051,48227.0,53.865566969
5055,48229.0,53.96244014
5058,48231.0,55.982783574
5067,48233.0,47.37099762
5072,48235.0,45.480741906
5074,48237.0,53.013787827
5078,48239.0,51.765376286
5084,48241.0,55.537954352
5089,48243.0,48.304808874
5091,48245.0,62.819289442
5108,48247.0,46.219439654
5109,48249.0,63.981220999
5113,48251.0,63.673182148
5123,48253.0,49.420827298
5129,48255.0,49.578190339
5135,48257.0,50.836726018
5142,48259.0,62.069054378
5146,48261.0,43.935400133
5147,48263.0,51.839540055
5149,48265.0,67.047545261
5154,48267.0,49.216826511
5156,48269.0,45.207837049
5157,48271.0,42.859515689
5158,48273.0,50.896443842
5160,48275.0,51.40380315
5164,48277.0,48.736082457
5175,48279.0,50.836726018
5181,48281.0,50.77627991
5184,48283.0,47.37099762
5186,48285.0,51.013763389
5191,48287.0,52.102356864
5196,48289.0,53.25930374
5203,48291.0,66.226690481
5211,48293.0,63.44957651
5218,48295.0,48.960397634
5223,48297.0,56.331833888
5227,48299.0,58.891430112
5234,48301.0,52.52586769
5235,48303.0,72.183286328
5254,48305.0,56.731616354
5258,48307.0,60.948218985
5263,48309.0,64.021303733
5286,48311.0,47.123119998
5288,48313.0,42.219075228
5291,48315.0,53.716611936
5293,48317.0,51.960732388
5295,48319.0,49.500133301
5299,48321.0,58.747404885
5307,48323.0,49.299437081
5309,48325.0,53.881844551
5318,48327.0,35.173949443
5320,48329.0,66.819901039
5325,48331.0,50.836726018
5333,48333.0,53.185047378
5336,48335.0,44.054840116
5339,48337.0,63.845946965
5346,48339.0,69.086818624
5368,48341.0,47.607066972
5372,48343.0,49.004067692
5375,48345.0,46.92872177
5378,48347.0,59.111241789
5386,48349.0,52.755473853
5398,48351.0,54.997600857
5404,48353.0,46.862190308
5408,48355.0,51.535984835
5432,48357.0,43.290789272
5435,48359.0,47.43107738
5437,48361.0,63.536063599
5441,48363.0,57.66265566
5448,48365.0,54.420290298
5453,48367.0,65.8345557
5461,48369.0,46.142592852
5465,48371.0,51.587886037
5470,48373.0,62.412057229
5478,48375.0,52.032050445
5487,48377.0,57.999565076
5489,48379.0,54.521300013
5491,48381.0,67.433734952
5497,48383.0,50.590388644
5498,48385.0,57.70040542
5501,48387.0,50.926035091
5507,48389.0,57.999565076
5510,48391.0,49.216826511
5515,48393.0,37.845496087
5516,48395.0,47.37099762
5521,48397.0,42.045144418
5524,48399.0,54.744730266
5528,48401.0,59.413060052
5538,48403.0,59.518409809
5542,48405.0,62.544009405
5544,48407.0,55.163471556
5548,48409.0,52.735034568
5556,48411.0,49.95103669
5559,48413.0,32.400202902
5560,48415.0,53.440218694
5564,48417.0,52.504457206
5566,48419.0,62.10320529
5571,48421.0,38.951511441
5572,48423.0,59.831450898
5587,48425.0,59.732613735
5590,48427.0,55.842546248
5598,48429.0,34.409898599
5600,48431.0,25.529007927
5601,48433.0,42.859515689
5602,48435.0,40.849819991
5603,48437.0,43.007482482
5606,48439.0,65.898268776
5671,48441.0,55.514629511
5685,48443.0,39.855191785
5687,48445.0,53.332464027
5690,48447.0,45.739401607
5692,48449.0,28.964605414
5696,48451.0,51.37693848
5706,48453.0,63.915118878
5752,48455.0,60.944311599
5756,48457.0,62.201236064
5763,48459.0,58.873654171
5768,48461.0,45.654672715
5770,48463.0,58.8079248
5774,48465.0,60.59620068
5776,48467.0,52.568413183
5783,48469.0,63.247437996
5789,48471.0,60.162639296
5794,48473.0,62.261535098
5799,48475.0,49.299437081
5804,48477.0,51.212618919
5808,48479.0,60.442894043
5817,48481.0,58.076847597
5823,48483.0,47.43107738
5827,48485.0,42.859515689
5838,48487.0,51.839540055
5842,48489.0,50.230351117
5848,48491.0,55.150907495
5868,48493.0,53.090634629
5874,48495.0,49.578190339
5876,48497.0,65.327048035
5884,48499.0,58.40717981
5890,48501.0,52.568413183
5893,48503.0,44.285417479
5898,48505.0,54.272323505
5900,48507.0,52.217362475
8526,12086.0,
8604,36005.0,
8629,36047.0,
8667,36061.0,
8712,36063.0,
8730,36081.0,
8790,36085.0,
8802,,
9020,1001.0,55.961465178
9026,1003.0,56.497554007
9047,1005.0,49.98682399
9051,1007.0,36.941815743
9058,1009.0,47.123119998
9066,1011.0,42.706995364
9069,1013.0,48.689974967
9073,1015.0,49.539315477
9085,1017.0,45.568470204
9089,1019.0,47.248608205
9093,1021.0,40.377413231
9100,1023.0,52.079032024
9108,1025.0,50.364319257
9117,1027.0,46.72638676
9121,1029.0,44.396804626
9125,1031.0,55.514629511
9130,1033.0,54.376362216
9135,1035.0,49.047356346
9139,1037.0,47.941340992
9144,1039.0,52.217362475
9154,1041.0,47.05916402
9160,1043.0,50.161984247
9172,1045.0,53.185047378
9179,1047.0,51.071397986
9187,1049.0,52.102356864
9202,1051.0,49.578190339
9211,1053.0,56.42025779
9214,1055.0,54.361632579
9224,1057.0,43.290789272
9230,1059.0,35.835800389
9237,1061.0,50.196285557
9245,1063.0,51.639249392
9249,1065.0,46.92872177
9254,1067.0,55.842546248
9259,1069.0,56.129498878
9270,1071.0,52.461356765
9287,1073.0,50.494761508
9337,1075.0,51.37693848
9342,1077.0,39.571884994
9350,1079.0,37.414222504
9356,1081.0,48.403942568
9366,1083.0,55.479435142
9375,1085.0,40.619242629
9380,1087.0,51.430522996
9385,1089.0,55.225818534
9406,1091.0,50.684205693
9415,1093.0,49.299437081
9422,1095.0,52.816290806
9431,1097.0,58.944378598
9464,1099.0,54.211877397
9473,1101.0,41.483428584
9491,1103.0,46.994371994
9500,1105.0,48.736082457
9502,1107.0,55.443989083
9507,1109.0,51.912610462
9513,1111.0,42.387108928
9518,1113.0,52.916022932
9525,1115.0,45.480741906
9535,1117.0,50.715087534
9550,1119.0,37.414222504
9558,1121.0,51.322768329
9566,1123.0,51.184694792
9571,1125.0,42.045144418
9588,1127.0,49.420827298
9601,1129.0,42.859515689
9613,1131.0,49.768118536
9622,1133.0,48.047936917
9628,2013.0,60.351225284
9633,2016.0,58.254863285
9640,2050.0,75.091396586
9664,2060.0,62.403328399
9667,2068.0,57.826645698
9671,2070.0,65.865066395
9678,2090.0,58.567598973
9689,2100.0,51.0999659
9690,2122.0,69.40670506
9703,2130.0,63.138171619
9704,2150.0,65.171247169
9710,2164.0,64.911308009
9722,2170.0,67.562915953
9732,2180.0,67.414699863
9746,2185.0,57.81930814
9754,2188.0,63.906524997
9765,2240.0,60.777356106
9770,2270.0,66.673201116
9782,2290.0,69.565751415
9811,4001.0,60.901125809
9837,4003.0,64.706997372
9858,4005.0,63.526786068
9878,4007.0,64.216994783
9889,4009.0,58.062885561
9897,4011.0,56.292022273
9901,4012.0,62.207299086
9908,4013.0,68.143509599
10042,4015.0,68.13252156
10065,4017.0,62.940960383
10091,4019.0,66.302853621
10134,4021.0,66.095709595
10157,4023.0,59.423696364
10163,4025.0,66.095709595
10190,4027.0,67.367859554
10200,5001.0,51.790221047
10210,5003.0,49.047356346
10216,5005.0,58.090770414
10227,5007.0,55.225818534
10244,5009.0,49.693018319
10250,5011.0,41.677826812
10254,5013.0,38.242229325
10257,5015.0,56.429985996
10263,5017.0,47.490437604
10267,5019.0,41.864887482
10272,5021.0,41.864887482
10282,5023.0,33.506218256
10291,5025.0,34.409898599
10294,5027.0,53.631883044
10298,5029.0,38.242229325
10307,5031.0,43.007482482
10319,5033.0,45.985229811
10329,5035.0,49.98682399
10338,5037.0,42.706995364
10342,5039.0,36.941815743
10346,5041.0,51.267999601
10351,5043.0,45.985229811
10354,5045.0,44.396804626
10363,5047.0,46.295113176
10368,5049.0,53.314274944
10375,5051.0,49.004067692
10383,5053.0,33.506218256
10388,5055.0,34.409898599
10393,5057.0,57.493053689
